"Key","Item Type","Publication Year","Author","Title","Language","Publisher","Place","Notes"
"Strabo1620","book","1620","Strabo","Strabonis Rerum Geographicarum Libri XVII","Latin","Typis regiis","Lutetiae Parisiorum",""
"Caesar1719","book","1719","Caesar, Julius","C. Julii Caesaris Quae Exstant","Latin","E [sic] typographaeo Mariae Matthews","Londini",""
"Caesar1750","book","1750","Caesar, Julius","Caii Julii Caesaris et A. Hirtii de Rebus a Caesare Gestis Commentarii","Latin","In Aedibus Academicis : Excudebant Robertus et Andreas Foulis","Glasguae",""
"CurtiusRufusUnknown","book","","Curtius Rufus, Quintus","Q. Curtii Rufi Historiarum Alexandri Magni: cum Notis Variorum","Latin","","","Precise edition unknown"
"Justinus1762","book","1762","Justinus, Marcus Junianus","Justini Historiæ Philippicæ","Latin","","Amstelaedami",""
"Livy1780","book","1780","Livy","T. Livii Patavini Historiarum Liber I. et Selecta Capita","Latin","","Moguntiae Gymn. Elect.",""
"Livy1678","book","1678","Livy","Titi Livii Historiarum Quod Extat","Latin","Apud D. Elzevirium","Amstelodami",""
"Nepos1744","book","1744","Nepos, Cornelius","Cornelii Nepotis Excellentium Imperatorum: cum Versione Anglica","Latin+English","","Edinburgh",""
"Nepos1749","book","1749","Nepos, Cornelius","Cornelii Nepotis Excellentium Imperatorum Vitae","Latin","In Aedibus Academicis excudebant Rob. et And. Foulis","Glasguae",""
"Sallust1746","book","1746","Sallust","C. Sallustii Crispi Opera Omnia quae Extant","Latin","typis Gul. Strahan","Londini",""
"Suetonius1718","book","1718","Suetonius","C. Suetonii Tranquilli Opera Omnia Quae Extant","Latin","E typographaeo Mariae Matthews","Londini",""
"Tacitus1672","book","1672-1673","Tacitus, Cornelius","C. Cornelii Taciti Opera, Quae Exstant","Latin","Apud Danielem Elsevirium","Amstelodami",""
"Cicero1722","book","1722","Cicero, Marcus Tullius","M.T. Ciceronis Orationes Quaedam Selectae","Latin","Typis Gulielmi Sayes","Londini",""
"Pliny1653","book","1653","Pliny, the Younger","C. Plinii Cæcilii Secvndi Epistolæ et Panegyricus","Latin","Apud Joan. & Danielem Elsevier","Lvgd. Batav.",""
"Quintilian1714","book","1714","Quintilian","M. Fabii Quinctiliani de Institutione Oratoria Libri Duodecim","Latin","Excudebat E.P. ; Impensis J. Nicholson","Londini",""
"Justinian1532","book","1532","Justinian I","Codex Justinianus ad Vetustorum Exemplarium Fidem Diligẽtissime Recognitus","Latin","","Parisijs in via ad duum Jacobum",""
"Justinian1663","book","1663","Justinian I","Corpus Juris Civilis","Greek+Latin","apud Joannem Blaeu, Ludovicum, & Danielem Elzevirios","Amstelodami",""
"Justinian1761","book","1761","Justinian I","D. Justiniani Institutionum Libri Quator, The Four Books of Justinian's Institutions","Latin+English","Printed by J. Purser for M. Withers","London",""
"Cato1595","book","1595","Cato, Varro, et al.","Rei Rusticae Auctores Latini Veteres","Latin","Ex Hier. Commelini typographio","Heidelberg, Germany",""
"HoraceUnknown","book","","Horace","Oeuvres d'Horace en Latin et en Francois","Latin+French","","","Precise edition unknown"
"Horace1747","book","1747","Horace","A Poetical Translation of the Works of Horace: with the Original Text, and Notes","Latin+English","Printed for A. Millar","London",""
"Horace1711","book","1711","Horace","Q. Horatii Flacci Opera","Latin","Impensis Gulielmi Innys","Londini",""
"Horace1744","book","1744","Horace","Quintus Horatius Flaccus","Latin","In aedibus academicis, excudebat Robert Foulis","Glasguae",""
"Juvenal1691","book","1691","Juvenal and Persius","D. Junii Juvenalis et A. Persii Flacci Satyrae","Latin","impensis Tho. Dring","Londini",""
"Lucretius1712","book","1712","Lucretius Carus, Titus","De Rerum Natura Libri Sex","Latin","Sumptibus & typis Jacobi Tonson","Londini",""
"Lucretius1675","book","1675 or 1686","Lucretius Carus, Titus","Titi Lucretii Cari. De Rerum Natura Libri Sex","Latin","Ex officina Joann. Hayes, Impensis W. Morden","Cantabrigiæ",""
"OvidUnknown","book","","Ovid","De Arte Amandi","Latin","","","Precise edition unknown"
"Ovid1751","book","1751","Ovid","Publii Ovidii Nasonis Metamorphoseon Libri XV","Latin","Impensis S. Ballard, J. & P. Knapton","Londini",""
"Petronius1669","book","1669","Petronius Arbiter","Titi Petronii Arbitri Equitis Romani Satyricon","Latin","Typis Ioannis Blaev","Amstelodami",""
"Phaedrus1713","book","1713","Phaedrus","Phædri Aug. Liberti Fabularum Æsopiarum Libri Quinque","Latin","Ex officinâ Jacobi Tonson, & Johannis Watts.","Londini",""
"Plautus1669","book","1669","Plautus, Titus Maccius","M. Acci Plauti Comoediae","Latin","Ex Officina Hackiana","Lugd. Batav., Roterod.",""
"Statius1671","book","1671","Statius, P. Papinius","Publii Papinii Statii Sylvarum lib. V. ; Thebaidos lib. XII. ; Achilleidos lib. II.","Latin","Ex officina Hackiana","Lugd. Batav.",""
"Terence1742","book","1742","Terence","Publii Terentii Afri Comoediae Sex","Latin","Cura & impensis Roberti Foulis","Glasguae",""
"Tibullus1753","book","1753","Tibullus and Propertius","Tibulli Et Propertii Opera","Latin","Excudebant Robertus & Andreas Foulis","Glasguae",""
"Various1752","book","1752","Various","Poetae Latini Minores: ex Editione Petri Burmanni Fideliter Expressi","Latin","In aedibus Academicis","Glasguae",""
"Virgil1743","book","1743","Virgil","P. Virgilii Maronis Bucolica, Georgica, et Aeneis","Latin","Apud G. Hamilton & J. Balfour","Edinburgi",""
"Virgil1746","book","1746","Virgil","P. Virgilii Maronis Opera","Latin","Impensis W. Innys","Londini",""
"Virgil1784","book","1784","Virgil","Publii Virgilii Maronis Bucolica, Georgica, et Aeneis","Latin","In Aedibus Academicis, excudebat Andreas Foulis","Glasguae",""
"Euclid1756","book","1756","Euclid","Euclidis Elementorum Libri Priores Sex...","Latin","in Aedibus Academicis, Excudebant R. et A. Foulis","Glasguae",""
"Pliny1669","book","1669","Pliny, the Elder","C. Plinii Secundi Naturalis Historiæ","Latin","Apud Hackios","Lugd. Batav. & Roterodami",""
"PlinyUnknown","book","","Pliny, the Elder","C. Plinii Secundi Naturalis Historiæ","Latin","","","Precise edition unknown"
"Boethius1751","book","1751","Boethius","Anicii Manlii Severini Boetii Consolationis Philosophiae Libri Quinque","Latin","In Aedibus Academicis excudebant Robertus et Andreas Foulis","Glasguae",""
"Cicero1740","book","1740-1742","Cicero, Marcus Tullius","M. Tullii Ciceronis Opera cum Delectu Commentariorum","Latin","Apud J. B. Coignard","Parisiis",""
"Cicero1748","book","1748-49","Cicero, Marcus Tullius","M. Tullii Ciceronis Opera quae Supersunt Omnia","Latin","In Aedibus Academicis, Excudebant Rob. et And. Foulis","Glasguae",""
"Gellius1651","book","1651","Gellius, Aulus","Auli Gellii Noctes Atticae","Latin","Apud Ludovicum Elzevirium","Amstelodami",""
"MinuciusFelix1750","book","1750","Minucius Felix, Marcus","Marci Minucii Felicis Octavius","Latin","In aedibus academicis excudebant Robertus et Andreas Foulis","Glasguae",""
"Justinus1784","book","1784","Justinus, Marcus Junianus","Iustini Historiae Philippicae : ad optimas editiones collatae : praemittitur notitia literaria : accedit index / studiis Societatis Bipontinae.","lat","Ex typographia Societatis","gw",""
"Cato1734","book","1734","Cato, Marcus Porcius, 95 B.C.-46 B.C.","Catonis Disticha Moralia, et Lilii Monita Paedagogica; or, Cato's Moral distichs, and Lily's paedagogical admonitions, with the following improvement in a method intirely new...an alphabetical vocabulary of all the words, shewing their parts of speech, and signification...for the use of schools by John Stirling.","lat","Thos. Astley","enk",""
"Florus1774","book","1774","Florus, Lucius Annaeus.","L. Annaei Flori Epitome rerum romanarum cum versione anglica ... or, A compendious history of Rome, by L. Florus. With an English tr., as literal as possible. By John Clarke.","lat","Printed for Hawes, Clarke, and Collins","enk",""